Seed,Incident Link,Feeder 1,Feeder 2,Start Time [HH:MM:SS],End Time [HH:MM:SS],Duration [HH:MM:SS],Duration [mins]
141,12978,12961,12975,16:30:46,17:29:00,0:58:14,58.23
141,12982,13449,12980,18:04:36,18:50:37,0:46:01,46.02
141,13244,12942,13242,19:39:49,20:38:17,0:58:28,58.47
141,13461,12981,13451,17:32:43,18:01:01,0:28:18,28.3
141,13490,13137,13135,18:01:14,20:52:40,2:51:26,171.43
141,13499,13153,13151,7:45:46,9:08:56,1:23:10,83.17
141,13640,12934,12937,18:01:12,18:33:18,0:32:06,32.1
141,14513,13441,13438,18:41:54,21:22:55,2:41:01,161.02
141,16583,16582,16580,8:48:41,9:22:55,0:34:14,34.23
141,16652,16931,16651,8:44:13,9:14:42,0:30:29,30.48
141,17641,20793,17895,7:54:48,8:37:47,0:42:59,42.98
141,18523,20811,18454,12:23:05,13:59:00,1:35:55,95.92
167,8342,13404,12848,16:18:37,16:57:00,0:38:23,38.38
167,12931,13640,12934,16:25:01,16:53:53,0:28:52,28.87
167,12956,13445,12954,14:24:06,15:34:50,1:10:44,70.73
167,13073,13076,13567,14:20:42,15:35:00,1:14:18,74.3
167,13131,13122,13126,6:00:35,7:48:00,1:47:25,107.42
167,13416,13414,13410,9:08:23,10:21:56,1:13:33,73.55
167,14513,13441,13438,12:59:15,14:29:05,1:29:50,89.83
167,16560,16559,16557,15:23:34,16:30:17,1:06:43,66.72
167,16613,16665,16214,9:03:33,9:54:06,0:50:33,50.55
167,16652,16931,16651,16:48:31,17:41:01,0:52:30,52.5
167,16705,16604,16704,17:39:33,18:44:08,1:04:35,64.58
167,17496,17318,17491,13:28:48,14:25:19,0:56:31,56.52
167,17632,24753,17875,9:14:42,9:45:51,0:31:09,31.15
167,18234,17269,25185,15:42:48,16:51:40,1:08:52,68.87
167,18779,19063,19059,6:59:12,8:27:03,1:27:51,87.85
167,18804,18763,18937,8:03:57,9:00:48,0:56:51,56.85
167,20832,20046,24554,16:30:19,17:25:35,0:55:16,55.27
167,24751,17630,17611,16:16:14,17:08:50,0:52:36,52.6
227,12899,12900,12910,15:29:51,16:43:53,1:14:02,74.03
227,12907,12904,13618,16:15:17,16:54:39,0:39:22,39.37
227,12932,13638,12930,17:52:04,19:04:00,1:11:56,71.93
227,12941,12936,12932,9:32:06,10:46:47,1:14:41,74.68
227,12959,12977,13459,7:44:55,8:52:41,1:07:46,67.77
227,13018,13056,13576,17:27:04,18:37:49,1:10:45,70.75
227,13125,13128,13120,7:27:56,8:00:00,0:32:04,32.07
227,13244,12942,13242,10:50:59,11:49:42,0:58:43,58.72
227,13464,13468,13466,17:08:22,18:14:28,1:06:06,66.1
227,13640,12934,12937,18:17:47,19:45:27,1:27:40,87.67
227,14513,13441,13438,15:10:17,15:43:24,0:33:07,33.12
227,16560,16559,16557,12:58:48,14:07:10,1:08:22,68.37
227,16567,16566,16564,9:20:28,11:07:13,1:46:45,106.75
227,18234,17269,25185,17:58:06,19:19:16,1:21:10,81.17
227,18249,20801,18260,15:25:22,16:56:49,1:31:27,91.45
227,18310,17115,25228,9:24:37,10:17:50,0:53:13,53.22
227,19698,17138,22259,17:01:02,17:56:00,0:54:58,54.97
227,20454,20457,20458,14:37:35,18:09:52,3:32:17,212.28
227,24911,18696,17458,19:01:30,19:42:03,0:40:33,40.55
340,12899,12900,12910,15:41:53,17:35:18,1:53:25,113.42
340,12931,13640,12934,16:31:08,16:47:45,0:16:37,16.62
340,13018,13056,13576,17:27:04,18:37:49,1:10:45,70.75
340,13208,13535,13205,15:18:06,17:17:25,1:59:19,119.32
340,13425,12913,12844,15:07:43,16:37:56,1:30:13,90.22
340,13440,13442,14514,8:49:05,9:27:52,0:38:47,38.78
340,13467,13463,12982,14:33:01,16:07:02,1:34:01,94.02
340,13490,13137,13135,18:01:14,20:52:40,2:51:26,171.43
340,13504,13507,13169,18:28:15,18:59:34,0:31:19,31.32
340,13508,13175,13178,8:24:28,9:16:58,0:52:30,52.5
340,16567,16566,16564,10:50:49,11:58:21,1:07:32,67.53
340,24911,18696,17458,7:54:37,9:31:00,1:36:23,96.38
398,12984,13464,13468,14:47:42,18:04:00,3:16:18,196.3
398,12989,13455,12987,11:42:54,12:39:25,0:56:31,56.52
398,13187,13190,13125,7:21:49,8:13:03,0:51:14,51.23
398,13486,13136,13139,10:10:38,10:59:54,0:49:16,49.27
398,13504,13507,13169,18:28:15,18:59:34,0:31:19,31.32
398,14513,13441,13438,7:55:56,8:38:42,0:42:46,42.77
398,16643,16625,16618,10:54:18,13:58:31,3:04:13,184.22
418,12956,13445,12954,14:24:06,15:34:50,1:10:44,70.73
418,13055,12859,8342,10:27:40,11:09:14,0:41:34,41.57
418,13208,13535,13205,17:28:58,18:14:00,0:45:02,45.03
418,13392,12881,12835,9:23:41,10:37:08,1:13:27,73.45
418,13413,13401,13400,16:27:17,17:22:20,0:55:03,55.05
418,16507,16506,16809,9:21:59,10:10:01,0:48:02,48.03
418,16567,16566,16564,10:10:40,11:21:14,1:10:34,70.57
418,16603,16802,16602,18:11:38,19:10:14,0:58:36,58.6
418,16613,16665,16214,9:48:18,10:24:31,0:36:13,36.22
418,17458,24912,20191,13:13:09,14:05:00,0:51:51,51.85
418,17898,17894,22202,7:00:40,8:35:00,1:34:20,94.33
472,12956,13445,12954,8:10:02,9:47:40,1:37:38,97.63
472,12973,12959,12977,16:36:59,18:01:40,1:24:41,84.68
472,12982,13449,12980,8:40:38,9:38:22,0:57:44,57.73
472,13014,13033,13578,16:27:47,17:47:00,1:19:13,79.22
472,13125,13128,13120,7:27:56,8:00:00,0:32:04,32.07
472,13194,13521,13519,11:43:13,12:08:00,0:24:47,24.78
472,13244,12942,13242,9:24:48,10:08:16,0:43:28,43.47
472,13246,12964,14236,7:43:31,8:41:51,0:58:20,58.33
472,13416,13414,13410,13:54:11,14:43:01,0:48:50,48.83
472,13464,13468,13466,17:34:22,19:38:00,2:03:38,123.63
472,13467,13463,12982,14:33:01,16:07:02,1:34:01,94.02
