Scenario,Seed,Incidents,Truck,Total Time (seconds),Total Distance (meters),Average_Time_seconds,Average Distance (meters)
Current,141,12,Davis_506,0,0,2747.25,17367.08157
Current,141,12,Davis_512,0,0,2747.25,17367.08157
Current,141,12,Davis_518,0,0,2747.25,17367.08157
Current,141,12,Davis_526,0,0,2747.25,17367.08157
Current,141,12,Davis_529,0,0,2747.25,17367.08157
Current,141,12,SLC_505,691,19196.22361,2747.25,17367.08157
Current,141,12,SLC_510,274,6168.809434,2747.25,17367.08157
Current,141,12,SLC_514,688,17157.39905,2747.25,17367.08157
Current,141,12,SLC_517,660,17789.5478,2747.25,17367.08157
Current,141,12,SLC_519,634,15472.0982,2747.25,17367.08157
Current,141,12,SLC_520,2791,21149.67269,2747.25,17367.08157
Current,141,12,SLC_523,1075,28741.50883,2747.25,17367.08157
Current,141,12,SLC_525,0,0,2747.25,17367.08157
Current,141,12,SLC_527,7880,46144.6541,2747.25,17367.08157
Current,141,12,SLC_528,7976,40976.38744,2747.25,17367.08157
Current,141,12,Utah_County_502,0,0,2747.25,17367.08157
Current,141,12,Utah_County_513,27678,70630.66564,2747.25,17367.08157
Current,141,12,Utah_County_516,3606,33452.43326,2747.25,17367.08157
Current,141,12,Utah_County_521,0,0,2747.25,17367.08157
Current,141,12,Utah_County_524,992,30462.23126,2747.25,17367.08157
Increased,141,12,Davis_506,0,0,1507.533333,8687.469986
Increased,141,12,Davis_512,0,0,1507.533333,8687.469986
Increased,141,12,Davis_518,0,0,1507.533333,8687.469986
Increased,141,12,Davis_526,0,0,1507.533333,8687.469986
Increased,141,12,Davis_529,0,0,1507.533333,8687.469986
Increased,141,12,NEW_Davis_530,0,0,1507.533333,8687.469986
Increased,141,12,NEW_Davis_531,0,0,1507.533333,8687.469986
Increased,141,12,NEW_SLC_503,0,0,1507.533333,8687.469986
Increased,141,12,NEW_SLC_504,0,0,1507.533333,8687.469986
Increased,141,12,NEW_SLC_507,0,0,1507.533333,8687.469986
Increased,141,12,NEW_SLC_508,4699,26824.73661,1507.533333,8687.469986
Increased,141,12,NEW_SLC_509,527,11004.63473,1507.533333,8687.469986
Increased,141,12,NEW_SLC_511,4683,18409.99665,1507.533333,8687.469986
Increased,141,12,NEW_Utah_County_532,275,7848.638526,1507.533333,8687.469986
Increased,141,12,NEW_Utah_County_533,0,0,1507.533333,8687.469986
Increased,141,12,SLC_505,571,14248.0181,1507.533333,8687.469986
Increased,141,12,SLC_510,262,6168.809434,1507.533333,8687.469986
Increased,141,12,SLC_514,0,0,1507.533333,8687.469986
Increased,141,12,SLC_517,600,17789.5478,1507.533333,8687.469986
Increased,141,12,SLC_519,565,15472.0982,1507.533333,8687.469986
Increased,141,12,SLC_520,4741,21149.67269,1507.533333,8687.469986
Increased,141,12,SLC_523,0,0,1507.533333,8687.469986
Increased,141,12,SLC_525,0,0,1507.533333,8687.469986
Increased,141,12,SLC_527,12106,38373.79498,1507.533333,8687.469986
Increased,141,12,SLC_528,11585,19419.48735,1507.533333,8687.469986
Increased,141,12,Utah_County_502,0,0,1507.533333,8687.469986
Increased,141,12,Utah_County_513,0,0,1507.533333,8687.469986
Increased,141,12,Utah_County_516,3611,33452.43326,1507.533333,8687.469986
Increased,141,12,Utah_County_521,0,0,1507.533333,8687.469986
Increased,141,12,Utah_County_524,1001,30462.23126,1507.533333,8687.469986
Current,167,18,Davis_506,0,0,5257.1,23033.73105
Current,167,18,Davis_512,0,0,5257.1,23033.73105
Current,167,18,Davis_518,8990,38352.56778,5257.1,23033.73105
Current,167,18,Davis_526,0,0,5257.1,23033.73105
Current,167,18,Davis_529,422,13764.15394,5257.1,23033.73105
Current,167,18,SLC_505,27145,98963.17681,5257.1,23033.73105
Current,167,18,SLC_510,9505,71814.51224,5257.1,23033.73105
Current,167,18,SLC_514,16046,45122.2243,5257.1,23033.73105
Current,167,18,SLC_517,163,5619.895747,5257.1,23033.73105
Current,167,18,SLC_519,7909,13578.22689,5257.1,23033.73105
Current,167,18,SLC_520,445,11803.7847,5257.1,23033.73105
Current,167,18,SLC_523,0,0,5257.1,23033.73105
Current,167,18,SLC_525,14265,22657.86567,5257.1,23033.73105
Current,167,18,SLC_527,7628,28518.50259,5257.1,23033.73105
Current,167,18,SLC_528,10422,44422.1614,5257.1,23033.73105
Current,167,18,Utah_County_502,395,12450.78766,5257.1,23033.73105
Current,167,18,Utah_County_513,133,4676.74204,5257.1,23033.73105
Current,167,18,Utah_County_516,208,5298.880697,5257.1,23033.73105
Current,167,18,Utah_County_521,851,27351.65062,5257.1,23033.73105
Current,167,18,Utah_County_524,615,16279.48798,5257.1,23033.73105
Increased,167,18,Davis_506,0,0,3337.433333,13131.18657
Increased,167,18,Davis_512,0,0,3337.433333,13131.18657
Increased,167,18,Davis_518,0,0,3337.433333,13131.18657
Increased,167,18,Davis_526,0,0,3337.433333,13131.18657
Increased,167,18,Davis_529,0,0,3337.433333,13131.18657
Increased,167,18,NEW_Davis_530,486,10477.49542,3337.433333,13131.18657
Increased,167,18,NEW_Davis_531,0,0,3337.433333,13131.18657
Increased,167,18,NEW_SLC_503,19740,74933.84768,3337.433333,13131.18657
Increased,167,18,NEW_SLC_504,0,0,3337.433333,13131.18657
Increased,167,18,NEW_SLC_507,1496,44137.42088,3337.433333,13131.18657
Increased,167,18,NEW_SLC_508,0,0,3337.433333,13131.18657
Increased,167,18,NEW_SLC_509,16045,34306.9767,3337.433333,13131.18657
Increased,167,18,NEW_SLC_511,777,19800.11236,3337.433333,13131.18657
Increased,167,18,NEW_Utah_County_532,486,14778.27954,3337.433333,13131.18657
Increased,167,18,NEW_Utah_County_533,614,18104.30252,3337.433333,13131.18657
Increased,167,18,SLC_505,25611,26705.48452,3337.433333,13131.18657
Increased,167,18,SLC_510,331,9982.204938,3337.433333,13131.18657
Increased,167,18,SLC_514,14291,21114.73392,3337.433333,13131.18657
Increased,167,18,SLC_517,163,5619.895747,3337.433333,13131.18657
Increased,167,18,SLC_519,7913,13578.22689,3337.433333,13131.18657
Increased,167,18,SLC_520,453,11803.7847,3337.433333,13131.18657
Increased,167,18,SLC_523,0,0,3337.433333,13131.18657
Increased,167,18,SLC_525,0,0,3337.433333,13131.18657
Increased,167,18,SLC_527,10023,39922.97785,3337.433333,13131.18657
Increased,167,18,SLC_528,350,9963.955022,3337.433333,13131.18657
Increased,167,18,Utah_County_502,393,12450.78766,3337.433333,13131.18657
Increased,167,18,Utah_County_513,133,4676.74204,3337.433333,13131.18657
Increased,167,18,Utah_County_516,205,5298.880697,3337.433333,13131.18657
Increased,167,18,Utah_County_521,0,0,3337.433333,13131.18657
Increased,167,18,Utah_County_524,613,16279.48798,3337.433333,13131.18657
Current,227,18,Davis_506,0,0,5772.5,28001.72179
Current,227,18,Davis_512,0,0,5772.5,28001.72179
Current,227,18,Davis_518,0,0,5772.5,28001.72179
Current,227,18,Davis_526,0,0,5772.5,28001.72179
Current,227,18,Davis_529,1289,39022.85789,5772.5,28001.72179
Current,227,18,SLC_505,13854,49623.14595,5772.5,28001.72179
Current,227,18,SLC_510,8975,68715.85681,5772.5,28001.72179
Current,227,18,SLC_514,1002,30530.69258,5772.5,28001.72179
Current,227,18,SLC_517,13967,60350.65234,5772.5,28001.72179
Current,227,18,SLC_519,7576,21539.5514,5772.5,28001.72179
Current,227,18,SLC_520,435,11364.30613,5772.5,28001.72179
Current,227,18,SLC_523,5990,16348.01368,5772.5,28001.72179
Current,227,18,SLC_525,12590,36028.35895,5772.5,28001.72179
Current,227,18,SLC_527,14909,37937.19713,5772.5,28001.72179
Current,227,18,SLC_528,1470,29161.93282,5772.5,28001.72179
Current,227,18,Utah_County_502,320,10494.45786,5772.5,28001.72179
Current,227,18,Utah_County_513,6606,31480.01006,5772.5,28001.72179
Current,227,18,Utah_County_516,6019,41694.28182,5772.5,28001.72179
Current,227,18,Utah_County_521,441,13407.66903,5772.5,28001.72179
Current,227,18,Utah_County_524,20007,62335.45136,5772.5,28001.72179
Increased,227,18,Davis_506,0,0,2719.033333,12683.65057
Increased,227,18,Davis_512,0,0,2719.033333,12683.65057
Increased,227,18,Davis_518,0,0,2719.033333,12683.65057
Increased,227,18,Davis_526,0,0,2719.033333,12683.65057
Increased,227,18,Davis_529,0,0,2719.033333,12683.65057
Increased,227,18,NEW_Davis_530,0,0,2719.033333,12683.65057
Increased,227,18,NEW_Davis_531,0,0,2719.033333,12683.65057
Increased,227,18,NEW_SLC_503,13860,34124.84769,2719.033333,12683.65057
Increased,227,18,NEW_SLC_504,0,0,2719.033333,12683.65057
Increased,227,18,NEW_SLC_507,6660,24068.61312,2719.033333,12683.65057
Increased,227,18,NEW_SLC_508,5989,13895.70139,2719.033333,12683.65057
Increased,227,18,NEW_SLC_509,722,19695.36041,2719.033333,12683.65057
Increased,227,18,NEW_SLC_511,273,8624.630087,2719.033333,12683.65057
Increased,227,18,NEW_Utah_County_532,13738,29343.48246,2719.033333,12683.65057
Increased,227,18,NEW_Utah_County_533,983,30912.37975,2719.033333,12683.65057
Increased,227,18,SLC_505,12613,31591.97184,2719.033333,12683.65057
Increased,227,18,SLC_510,258,8709.731987,2719.033333,12683.65057
Increased,227,18,SLC_514,0,0,2719.033333,12683.65057
Increased,227,18,SLC_517,548,16151.73858,2719.033333,12683.65057
Increased,227,18,SLC_519,7576,21539.5514,2719.033333,12683.65057
Increased,227,18,SLC_520,555,11364.30613,2719.033333,12683.65057
Increased,227,18,SLC_523,0,0,2719.033333,12683.65057
Increased,227,18,SLC_525,0,0,2719.033333,12683.65057
Increased,227,18,SLC_527,14303,34353.67975,2719.033333,12683.65057
Increased,227,18,SLC_528,1043,18632.71321,2719.033333,12683.65057
Increased,227,18,Utah_County_502,320,10494.45786,2719.033333,12683.65057
Increased,227,18,Utah_County_513,760,24397.04722,2719.033333,12683.65057
Increased,227,18,Utah_County_516,180,6545.539835,2719.033333,12683.65057
Increased,227,18,Utah_County_521,438,13407.66903,2719.033333,12683.65057
Increased,227,18,Utah_County_524,752,22656.0954,2719.033333,12683.65057
Current,340,12,Davis_506,0,0,3524.05,19529.57023
Current,340,12,Davis_512,0,0,3524.05,19529.57023
Current,340,12,Davis_518,4099,42865.07667,3524.05,19529.57023
Current,340,12,Davis_526,0,0,3524.05,19529.57023
Current,340,12,Davis_529,0,0,3524.05,19529.57023
Current,340,12,SLC_505,1243,39299.27813,3524.05,19529.57023
Current,340,12,SLC_510,1128,32564.78569,3524.05,19529.57023
Current,340,12,SLC_514,9365,39437.21466,3524.05,19529.57023
Current,340,12,SLC_517,8822,32037.21185,3524.05,19529.57023
Current,340,12,SLC_519,12053,27802.55551,3524.05,19529.57023
Current,340,12,SLC_520,4098,30467.52598,3524.05,19529.57023
Current,340,12,SLC_523,10893,16624.36955,3524.05,19529.57023
Current,340,12,SLC_525,1249,28282.86303,3524.05,19529.57023
Current,340,12,SLC_527,15769,50931.97389,3524.05,19529.57023
Current,340,12,SLC_528,475,13689.02995,3524.05,19529.57023
Current,340,12,Utah_County_502,0,0,3524.05,19529.57023
Current,340,12,Utah_County_513,0,0,3524.05,19529.57023
Current,340,12,Utah_County_516,1287,36589.51972,3524.05,19529.57023
Current,340,12,Utah_County_521,0,0,3524.05,19529.57023
Current,340,12,Utah_County_524,0,0,3524.05,19529.57023
Increased,340,12,Davis_506,0,0,1727.266667,9777.227594
Increased,340,12,Davis_512,0,0,1727.266667,9777.227594
Increased,340,12,Davis_518,0,0,1727.266667,9777.227594
Increased,340,12,Davis_526,0,0,1727.266667,9777.227594
Increased,340,12,Davis_529,0,0,1727.266667,9777.227594
Increased,340,12,NEW_Davis_530,0,0,1727.266667,9777.227594
Increased,340,12,NEW_Davis_531,0,0,1727.266667,9777.227594
Increased,340,12,NEW_SLC_503,748,23800.97988,1727.266667,9777.227594
Increased,340,12,NEW_SLC_504,571,14684.95391,1727.266667,9777.227594
Increased,340,12,NEW_SLC_507,641,18632.71321,1727.266667,9777.227594
Increased,340,12,NEW_SLC_508,480,10925.13334,1727.266667,9777.227594
Increased,340,12,NEW_SLC_509,1060,31393.41147,1727.266667,9777.227594
Increased,340,12,NEW_SLC_511,7459,18967.26281,1727.266667,9777.227594
Increased,340,12,NEW_Utah_County_532,0,0,1727.266667,9777.227594
Increased,340,12,NEW_Utah_County_533,0,0,1727.266667,9777.227594
Increased,340,12,SLC_505,1037,23846.47592,1727.266667,9777.227594
Increased,340,12,SLC_510,9361,29704.07118,1727.266667,9777.227594
Increased,340,12,SLC_514,0,0,1727.266667,9777.227594
Increased,340,12,SLC_517,548,16151.73858,1727.266667,9777.227594
Increased,340,12,SLC_519,12061,27802.55551,1727.266667,9777.227594
Increased,340,12,SLC_520,5931,28236.8359,1727.266667,9777.227594
Increased,340,12,SLC_523,10903,16624.36955,1727.266667,9777.227594
Increased,340,12,SLC_525,0,0,1727.266667,9777.227594
Increased,340,12,SLC_527,555,18857.29661,1727.266667,9777.227594
Increased,340,12,SLC_528,463,13689.02995,1727.266667,9777.227594
Increased,340,12,Utah_County_502,0,0,1727.266667,9777.227594
Increased,340,12,Utah_County_513,0,0,1727.266667,9777.227594
Increased,340,12,Utah_County_516,0,0,1727.266667,9777.227594
Increased,340,12,Utah_County_521,0,0,1727.266667,9777.227594
Increased,340,12,Utah_County_524,0,0,1727.266667,9777.227594
Current,398,7,Davis_506,0,0,3189.25,13867.43736
Current,398,7,Davis_512,0,0,3189.25,13867.43736
Current,398,7,Davis_518,0,0,3189.25,13867.43736
Current,398,7,Davis_526,0,0,3189.25,13867.43736
Current,398,7,Davis_529,0,0,3189.25,13867.43736
Current,398,7,SLC_505,13742,24190.39188,3189.25,13867.43736
Current,398,7,SLC_510,16428,48284.07851,3189.25,13867.43736
Current,398,7,SLC_514,0,0,3189.25,13867.43736
Current,398,7,SLC_517,0,0,3189.25,13867.43736
Current,398,7,SLC_519,0,0,3189.25,13867.43736
Current,398,7,SLC_520,641,11945.56755,3189.25,13867.43736
Current,398,7,SLC_523,0,0,3189.25,13867.43736
Current,398,7,SLC_525,0,0,3189.25,13867.43736
Current,398,7,SLC_527,579,13487.21871,3189.25,13867.43736
Current,398,7,SLC_528,934,25219.69355,3189.25,13867.43736
Current,398,7,Utah_County_502,14985,66524.65994,3189.25,13867.43736
Current,398,7,Utah_County_513,14974,43588.08876,3189.25,13867.43736
Current,398,7,Utah_County_516,467,13999.24633,3189.25,13867.43736
Current,398,7,Utah_County_521,0,0,3189.25,13867.43736
Current,398,7,Utah_County_524,1035,30109.80189,3189.25,13867.43736
Increased,398,7,Davis_506,0,0,1907.733333,6557.574479
Increased,398,7,Davis_512,0,0,1907.733333,6557.574479
Increased,398,7,Davis_518,0,0,1907.733333,6557.574479
Increased,398,7,Davis_526,0,0,1907.733333,6557.574479
Increased,398,7,Davis_529,0,0,1907.733333,6557.574479
Increased,398,7,NEW_Davis_530,0,0,1907.733333,6557.574479
Increased,398,7,NEW_Davis_531,0,0,1907.733333,6557.574479
Increased,398,7,NEW_SLC_503,13717,8692.09362,1907.733333,6557.574479
Increased,398,7,NEW_SLC_504,0,0,1907.733333,6557.574479
Increased,398,7,NEW_SLC_507,250,6754.641381,1907.733333,6557.574479
Increased,398,7,NEW_SLC_508,0,0,1907.733333,6557.574479
Increased,398,7,NEW_SLC_509,0,0,1907.733333,6557.574479
Increased,398,7,NEW_SLC_511,180,5911.781743,1907.733333,6557.574479
Increased,398,7,NEW_Utah_County_532,243,6724.900778,1907.733333,6557.574479
Increased,398,7,NEW_Utah_County_533,636,18876.60869,1907.733333,6557.574479
Increased,398,7,SLC_505,0,0,1907.733333,6557.574479
Increased,398,7,SLC_510,10665,24756.94393,1907.733333,6557.574479
Increased,398,7,SLC_514,0,0,1907.733333,6557.574479
Increased,398,7,SLC_517,0,0,1907.733333,6557.574479
Increased,398,7,SLC_519,0,0,1907.733333,6557.574479
Increased,398,7,SLC_520,634,11945.56755,1907.733333,6557.574479
Increased,398,7,SLC_523,0,0,1907.733333,6557.574479
Increased,398,7,SLC_525,0,0,1907.733333,6557.574479
Increased,398,7,SLC_527,0,0,1907.733333,6557.574479
Increased,398,7,SLC_528,952,25219.69355,1907.733333,6557.574479
Increased,398,7,Utah_County_502,0,0,1907.733333,6557.574479
Increased,398,7,Utah_County_513,14974,43588.08876,1907.733333,6557.574479
Increased,398,7,Utah_County_516,14981,44256.91437,1907.733333,6557.574479
Increased,398,7,Utah_County_521,0,0,1907.733333,6557.574479
Increased,398,7,Utah_County_524,0,0,1907.733333,6557.574479
Current,418,11,Davis_506,0,0,1361.7,7738.654621
Current,418,11,Davis_512,0,0,1361.7,7738.654621
Current,418,11,Davis_518,0,0,1361.7,7738.654621
Current,418,11,Davis_526,0,0,1361.7,7738.654621
Current,418,11,Davis_529,0,0,1361.7,7738.654621
Current,418,11,SLC_505,3313,27621.31163,1361.7,7738.654621
Current,418,11,SLC_510,14562,33952.11723,1361.7,7738.654621
Current,418,11,SLC_514,239,6271.163458,1361.7,7738.654621
Current,418,11,SLC_517,255,8150.985232,1361.7,7738.654621
Current,418,11,SLC_519,381,8671.83203,1361.7,7738.654621
Current,418,11,SLC_520,0,0,1361.7,7738.654621
Current,418,11,SLC_523,6532,11542.54053,1361.7,7738.654621
Current,418,11,SLC_525,182,6049.718274,1361.7,7738.654621
Current,418,11,SLC_527,151,5464.771464,1361.7,7738.654621
Current,418,11,SLC_528,350,9963.955022,1361.7,7738.654621
Current,418,11,Utah_County_502,0,0,1361.7,7738.654621
Current,418,11,Utah_County_513,713,20121.17568,1361.7,7738.654621
Current,418,11,Utah_County_516,556,16963.52186,1361.7,7738.654621
Current,418,11,Utah_County_521,0,0,1361.7,7738.654621
Current,418,11,Utah_County_524,0,0,1361.7,7738.654621
Increased,418,11,Davis_506,0,0,690.9666667,4563.087767
Increased,418,11,Davis_512,0,0,690.9666667,4563.087767
Increased,418,11,Davis_518,0,0,690.9666667,4563.087767
Increased,418,11,Davis_526,0,0,690.9666667,4563.087767
Increased,418,11,Davis_529,0,0,690.9666667,4563.087767
Increased,418,11,NEW_Davis_530,0,0,690.9666667,4563.087767
Increased,418,11,NEW_Davis_531,0,0,690.9666667,4563.087767
Increased,418,11,NEW_SLC_503,14515,23326.49816,690.9666667,4563.087767
Increased,418,11,NEW_SLC_504,81,2553.748992,690.9666667,4563.087767
Increased,418,11,NEW_SLC_507,558,16753.08456,690.9666667,4563.087767
Increased,418,11,NEW_SLC_508,0,0,690.9666667,4563.087767
Increased,418,11,NEW_SLC_509,0,0,690.9666667,4563.087767
Increased,418,11,NEW_SLC_511,0,0,690.9666667,4563.087767
Increased,418,11,NEW_Utah_County_532,0,0,690.9666667,4563.087767
Increased,418,11,NEW_Utah_County_533,0,0,690.9666667,4563.087767
Increased,418,11,SLC_505,3317,27621.31163,690.9666667,4563.087767
Increased,418,11,SLC_510,0,0,690.9666667,4563.087767
Increased,418,11,SLC_514,240,6271.163458,690.9666667,4563.087767
Increased,418,11,SLC_517,242,8150.985232,690.9666667,4563.087767
Increased,418,11,SLC_519,376,8671.83203,690.9666667,4563.087767
Increased,418,11,SLC_520,0,0,690.9666667,4563.087767
Increased,418,11,SLC_523,154,5102.042322,690.9666667,4563.087767
Increased,418,11,SLC_525,182,6049.718274,690.9666667,4563.087767
Increased,418,11,SLC_527,148,5464.771464,690.9666667,4563.087767
Increased,418,11,SLC_528,366,9963.955022,690.9666667,4563.087767
Increased,418,11,Utah_County_502,0,0,690.9666667,4563.087767
