Incident,Seed,id,Scenario,Incident Link,Start Time [HH:MM:SS],End Time [HH:MM:SS],Duration [HH:MM:SS],Duration [mins],IMTs,1st Truck Arrival [HH:MM:SS],1st vehicle_id,2nd Truck Arrival [HH:MM:SS],2nd vehicle_id,3rd Truck Arrival [HH:MM:SS],3rd vehicle_id,4th Truck Arrival [HH:MM:SS],4th vehicle_id
1,141,12_141,2,13499,7:45:46,9:08:56,1:23:10,83.17,2,7:50:31,SLC_510,7:57:28,SLC_505,,,,
1,141,12_141,3,13499,7:45:46,9:08:56,1:23:10,83.17,2,7:50:19,SLC_510,7:54:44,NEW_SLC_509,,,,
2,141,12_141,2,17641,7:54:48,8:37:47,0:42:59,42.98,1,8:02:46,Utah_County_516,,,,,,
2,141,12_141,3,17641,7:54:48,8:37:47,0:42:59,42.98,1,8:02:49,Utah_County_516,,,,,,
3,141,12_141,2,16652,8:44:13,9:14:42,0:30:29,30.48,2,8:55:04,Utah_County_516,9:00:55,Utah_County_524,,,,
3,141,12_141,3,16652,8:44:13,9:14:42,0:30:29,30.48,2,8:55:09,Utah_County_516,9:01:04,Utah_County_524,,,,
4,141,12_141,2,16583,8:48:41,9:22:55,0:34:14,34.23,1,9:00:32,SLC_514,,,,,,
4,141,12_141,3,16583,8:48:41,9:22:55,0:34:14,34.23,1,8:58:35,SLC_505,,,,,,
5,141,12_141,2,18523,12:23:05,13:59:00,1:35:55,95.92,1,12:30:43,Utah_County_513,,,,,,
5,141,12_141,3,18523,12:23:05,13:59:00,1:35:55,95.92,1,12:28:05,NEW_Utah_County_532,,,,,,
6,141,12_141,2,12978,16:30:46,17:29:00,0:58:14,58.23,2,16:43:48,SLC_528,16:51:09,SLC_527,,,,
6,141,12_141,3,12978,16:30:46,17:29:00,0:58:14,58.23,2,16:40:04,SLC_528,16:50:51,SLC_527,,,,
7,141,12_141,2,13461,17:32:43,18:01:01,0:28:18,28.3,1,17:49:38,Utah_County_513,,,,,,
7,141,12_141,3,13461,17:32:43,18:01:01,0:28:18,28.3,1,17:36:08,SLC_528,,,,,,
